sample_id	start	end	extraction	context
1330854014100131841	218	225	COVID19	"v
#PacienteConectadoCOVID19
#GigasSolidarios
@f"
1241502912423047169	60	65	ictus	ando superar un postictus y ahora el #coronav
1496534104128561164	7	12	Covid	Vacuna Covid Efectos Secundarios
1287136396231221250	108	132	metástasis en  el hígado	áncer de pulmón con metástasis en  el hígado y tan fresca  .. ht
1493257618034417664	142	150	Obesidad	" cáncer colorrectal
Obesidad e higado graso
Obes"
1493257618034417664	123	141	cáncer colorrectal	" D, epigenética del cáncer colorrectal
Obesidad e higado g"
1493257618034417664	153	165	higado graso	"orrectal
Obesidad e higado graso
Obesidad y cirugía "
1493257618034417664	166	174	Obesidad	"idad e higado graso
Obesidad y cirugía bariatric"
1385947963478970371	75	79	Asma	 Latinoamericana de Asma Alergia e Inmunolog
1385947963478970371	80	87	Alergia	noamericana de Asma Alergia e Inmunología #SLAA
1250771139451924487	245	253	Artritis	riasis @Felupus @ConArtritis https://t.co/YUU3lJ
1250771139451924487	222	231	psoriasis	s a las 17h! @accionpsoriasis @Felupus @ConArtrit
1250771139451924487	235	240	lupus	@accionpsoriasis @Felupus @ConArtritis https:
1483770976240377857	225	237	piediabetico	o/RzRrLL2zlF #traselpiediabetico https://t.co/1kDF3B
1230040474045550592	40	46	cancer	a herpes, al cancer cancer y a la mierda mierd
1230040474045550592	33	39	cancer	le llama herpes, al cancer cancer y a la mierd
1366692420625260546	206	213	COVID19	días para la #VacunaCOVID19 https://t.co/gI5V3Y
1365974971336388611	151	162	raredisease	"entes. 
@FEDER_ONG
@rarediseaseday
#RareDiseaseDay
"
1365974971336388611	198	215	enfermedadesraras	"Day
#diamundialdelasenfermedadesraras
https://t.co/0VBbO1"
1183115800410017795	211	219	diabetes	"iabetesp #diabetes #diabetesydeporte
#soypersona"
1183115800410017795	190	198	diabetes	" la pierdo, y tú?
 #diabetesp #diabetes #diabete"
1320458034909499395	186	198	CPersistente	 q CONFIRMEN q los @CPersistente no tenemos vasculit
1416050532037316610	162	170	diabetES	://t.co/j3lcYgQEcW #diabetESP #DM2 https://t.co/
1299621177992900608	49	68	Trombosis post TAVI	"s
@LarsSondergaard 
Trombosis post TAVI
🚩Trombosis clinica:"
1299621177992900608	70	79	Trombosis	"rombosis post TAVI
🚩Trombosis clinica: La mayoría"
1494612279077314574	13	21	Asperger	Usuarios de @AspergerMadrid nos hablan de
1494699489210384384	261	269	diabetES	"vSdAL7r

#diabetes #diabetESP https://t.co/9zNwp"
1226844665854324737	131	140	epilepsia	udemos #crisis #rd #epilepsiamd en Santo Domingo,
1473756479127752708	266	278	piediabetico	o/Y9NUKWbYVI #traselpiediabetico https://t.co/Qyaa98
1371993856749629441	212	243	BORDERLINE PERSONALITY DISORDER	" DE LA PERSONALIDAD
BORDERLINE PERSONALITY DISORDER
#TLP 
#BPD


"
1371993856749629441	176	211	TRASTORNO LIMITE DE LA PERSONALIDAD	"e un par de horas. 
TRASTORNO LIMITE DE LA PERSONALIDAD
BORDERLINE PERSONAL"
1149370381343567872	100	109	epilepsia	"udemos #crisis #rd #epilepsiamd.
Consultas dispon"
1245733549816324098	87	97	discafobia	"IA para ELENA!!
stopdiscafobia
#detidepende
#DiaMu"
1245733549816324098	125	132	Autismo	"pende
#DiaMundialdelAutismo
#COVID19
#TEA
AnaSa"
1245733549816324098	133	141	#COVID19	"iaMundialdelAutismo
#COVID19
#TEA
AnaSalasChacon"
1471795728179556353	270	278	Diabetes	na @sociedadSEEN @SEDiabetes https://t.co/wr1g1I
1372189336070946821	43	48	lupus	medades autoinmunes lupus, Artritis reumatoid
1372189336070946821	18	42	enfermedades autoinmunes	Los pacientes con enfermedades autoinmunes lupus, Artritis reu
1416704822787588097	71	75	asma	ar la #bibliotecadelasma? Hoy leemos a Garcí
1125042869788655619	58	62	TEPT	"strés Postraumático TEPT"" ... Espero que sea"
1125042869788655619	110	143	Trastorno de Estrés Postraumático	"nterés ....
06   El Trastorno de Estrés Postraumático TEPT https://t.co/Q"
1125042869788655619	144	148	TEPT	strés Postraumático TEPT https://t.co/QYu4iM
1125042869788655619	24	57	Trastorno de Estrés Postraumático	"emos de ...... ""Del Trastorno de Estrés Postraumático TEPT"" ... Espero qu"
1440747912292569101	153	162	alzheimer	ALCALA #mueveteporelalzheimer #apoyo #CeroOmision
1309428809180078081	94	116	enfermedades crónicas”	"s ensayos no tienen enfermedades crónicas”
@mendibe_mar #emred"
1415280344153079808	7	14	COVID19	#VacunaCOVID19 y Síndrome de #Guil
1327199941626912769	264	272	diabetES	"betes gestacional.
#diabetESP https://t.co/4dRj9"
1458958338721419281	191	207	covidpersistente	lo que nos lleva a #covidpersistentechile dejan2 síntoma
1380088918993989632	258	276	parálisis cerebral	mujeres y niñas con parálisis cerebral . https://t.co/CTuX
1492925299796938754	264	272	diabetES	"DB99gX9

#diabetes #diabetESP https://t.co/Zsz1d"
1234923253300441089	17	28	ESCLEROSIS…	ASMAS, ALERGIAS, ESCLEROSIS… ¿Por qué nuestro si
1311699036999749633	224	232	diabetES	"troles perfectos 💪 #diabetESP


"
1495167589022113800	266	274	diabetES	"82Re0hQ

#diabetes #diabetESP https://t.co/8vIle"
1479437679813140481	270	278	diabetES	"3d51Kj7

#diabetes #diabetESP https://t.co/Msxf3"
1447822845321486344	226	238	piediabetico	"o/VGxjQsNjhx #traselpiediabetico


"
1494091748167102466	270	278	diabetES	"W0OzKNo

#diabetes #diabetESP https://t.co/xRRLI"
1171462734875000838	190	199	epilepsia	udemos #crisis #rd #epilepsiamd en Cedimat https:
1319251876165177344	219	225	áncer 	ntos tipos de este cáncer que existen @redacci
1319251876165177344	4	18	áncer de mama 	El cáncer de mama presenta una gran in
1485705904511066113	230	233	NAC	"ía de todo TEC, IAM NAC, Sepsis, etc, etc.
"
1485705904511066113	226	229	IAM	 había de todo TEC, IAM NAC, Sepsis, etc, e
1381874434668171272	118	129	Sarcoidosis	"spana
#Sarcoidosis
#Sarcoidosisawareness
#Enfermeda"
1161282844515328004	57	66	epilepsia	udemos #crisis #rd #epilepsiamd en Santo Domingo,
1092477766434471936	88	141	Carcinomas ( papilar, folicular, medular o anaplásico	"cio
Hipertiroidismo
Carcinomas ( papilar, folicular, medular o anaplásico)
Tumores neuroendoc"
1092477766434471936	72	87	Hipertiroidismo	"es patologías
Bocio
Hipertiroidismo
Carcinomas ( papila"
1092477766434471936	66	71	Bocio	"ferentes patologías
Bocio
Hipertiroidismo
Car"
1427163420747571201	155	163	diabetES	://t.co/v7DRmQjbir #diabetESP #DM2 https://t.co/
1414981417608613891	172	183	estrabismo…	ia, el nistagmo, el estrabismo… ¡no te lo pierdas! 
1440230576514949130	141	149	diabetES	d. @aarp #diabetes #diabetESP https://t.co/9ot9n
1417016588809736192	166	174	diabetES	://t.co/H2ikzasrXt #diabetESP #DM2 https://t.co/
1140729314780110848	203	211	celiacos	ingluten #celiacos #celiacoslaspalmas #celiacosf
1140729314780110848	222	230	celiacos	#celiacoslaspalmas #celiacosfuerteventura #glute
1448564217691484161	134	143	trombosis	IamtHTDU #díamundialtrombosis #trombo #CordobaEsp
1193348572907032576	156	165	epilepsia	udemos #crisis #rd #epilepsiamd en Dominican Repu
1353071183785201671	242	249	COVID19	"atope #covid #VacunaCOVID19





"
1400259743072071680	89	95	dravet	"sia #juntosvivimoseldravet
#CÉSARANDRÉS 
https"
1436707789800411143	255	297	#FelizSabadoATodos https://t.co/C5MqZ5ipRu	" #educacionespecial #FelizSabadoATodos https://t.co/C5MqZ5ipRu





"
1436707789800411143	217	235	#educacionprimaria	"s://t.co/fNT5VbhDgA
#educacionprimaria #educacionespecial "
1436707789800411143	236	254	#educacionespecial	"
#educacionprimaria #educacionespecial #FelizSabadoATodos "
1440279641244135424	188	198	Alzheimer 	"con una persona con Alzheimer de la @fpmaragall
👉h"
1295445392985858049	18	26	diabetes	"#repost @tienda.yodiabetes
・・・
TIENDA YO DIABE"
1494288042953224198	269	277	diabetES	"yMBYoif

#diabetes #diabetESP https://t.co/VYQ4s"
1266241038772875264	156	164	anorexia	nge​.​org/tratemoslaanorexia @jesusraguirre @sal
1196582158640529408	182	190	glaucoma	"/Env0TCMKSX
#queeselglaucoma #glaucoma #presioni"
1427891767865749504	246	258	piediabetico	"o/piB8ZvS3OC #traselpiediabetico


"
1430616898236993544	201	218	cáncer infantil👇🏻	"rapias avanzadas en cáncer infantil👇🏻
https://t.co/ppIHey"
1430616898236993544	271	277	cáncer	"rosdonavida
#Ganaralcáncer https://t.co/pUNy6W"
1253628542635696128	112	121	Parkinson	"ican desde la @Fund_Parkinson 
➡ https://t.co/rDL"
1475875946989330432	119	132	squizofrenia,	s mentales como la esquizofrenia, trastornos alimenti
1475875946989330432	134	157	rastornos alimenticios 	 la esquizofrenia, trastornos alimenticios y la artritis reumat
1475875946989330432	163	182	rtritis reumatoide 	 alimenticios y la artritis reumatoide se deben a nuestra h
1475875946989330432	91	110	rastornos mentales 	ol malo en sangre, trastornos mentales como la esquizofreni
1431550098094313472	55	62	autista	mpleo con RRHH  #soyautista #autismo #Asperger:
1329113963683078145	123	142	Síndrome de Burnout	"Estrés y ansiedad
🔴 Síndrome de Burnout 
🔴 Normalización de"
1329113963683078145	112	120	ansiedad	"igualdad
🔴 Estrés y ansiedad
🔴 Síndrome de Burno"
1445320393187811334	132	175	Sepsis nosocomial en el RN de muy bajo peso	"Sepsis vertical 
◻️ Sepsis nosocomial en el RN de muy bajo peso
@HospitalLaFe @H12O"
1445320393187811334	112	127	Sepsis vertical	" #perinatal II:
◻️ #Sepsis vertical 
◻️ Sepsis nosocomi"
1198944609692467205	182	198	trastorno “pica”	entre por el suelo (trastorno “pica”)Aplicamos todo lo q
1256624252528340993	47	74	TUMORES BENIGNOS DE LA PIEL	"://t.co/HCmaL2fAXM: TUMORES BENIGNOS DE LA PIEL
Queratosis seborrei"
1256624252528340993	75	97	Queratosis seborreicas	"BENIGNOS DE LA PIEL
Queratosis seborreicas, quistes, queloides"
1442547949888843778	191	196	Covid	os aquí en España? @CovidFamilias #COVIDPERSI
1489513155130761216	239	245	Cancer	"e al cáncer 
@ContraCancerEs 
https://t.co/NV4"
1350112914083086344	141	165	enfermedad de #Parkinson	"de las personas con enfermedad de #Parkinson
Neurologic manifest"
1350112914083086344	166	223	Neurologic manifestations of #COVIDー19 in people with #PD	"medad de #Parkinson
Neurologic manifestations of #COVIDー19 in people with #PD
👉 https://t.co/HIaD"
1422814834949775360	151	159	diabetES	://t.co/2zMaX8zi1x #diabetESP #DM2 https://t.co/
1479431585468489729	173	260	culebrilla” ) en el lado izquierdo de la cara , afectándome  al oído izquierdo y al ojo	"erpes zooster ( “la culebrilla” ) en el lado izquierdo de la cara , afectándome  al oído izquierdo y al ojo izquierdo ..


"
1204784148805754881	270	274	SIDA	"19
#VIH #CoRISpe
@GeSIDA https://t.co/3lPThb"
1466152643798216705	119	175	cuadro completo de ‘homosexual-SK-infección oportunista’	ue se trataba de un cuadro completo de ‘homosexual-SK-infección oportunista’, del que ya se habí
1419132396918788097	131	150	-Trombosis pulmonar	"ausa microtrombosis
-Trombosis pulmonar causa hipoxia despr"
1419132396918788097	116	130	microtrombosis	"elial directa causa microtrombosis
-Trombosis pulmonar"
1384487598543065088	48	55	COVID19	"mbólico con #VacunasCOVID19 
👉🏻Muchísimo menor "
1348342378676039687	152	161	Psoriasis	"a de la Fundación  @PsoriasisPanama
Si la padeces"
1255255786336518147	19	27	Duchenne	"RECORDATARIO: 
CureDuchenne Cares presenta un e"
1341797811935973376	257	265	diabetes	"andocondiabetes #quediabetesnontepare


"
1418602491843801097	141	149	diabetES	://t.co/yaaRXGWI6V #diabetESP #DM2 https://t.co/
1370660910080090113	156	165	longcovid	"mia 
@iacs_aragon  @longcovidaragon @SEMG_ES @Cie"
1416002118935252996	146	152	-Ellas	"-Evolución y cáncer
-Ellas en ciencia
-Dietas "
1416002118935252996	139	145	cáncer	"genoma
-Evolución y cáncer
-Ellas en ciencia
-"
1440321174605496341	140	148	diabetES	r. @aarp #diabetes #diabetESP https://t.co/rkL3u
1225823968462024712	212	221	Psoriasis	"fbarrio @latinapso @PsoriasisIFPA 
#psoriasis #ar"
1324703847235858432	266	274	diabetES	"://t.co/ajJkUfJf4T
#diabetESP #DM1 https://t.co/"
1441206910649192452	56	66	tabaquismo	s por el hábito del tabaquismo causan cada año mil
1276079075770224642	177	185	diabetES	"o  en nuestro blog #diabetESP #diabetestipo2
👇👇👇"
1338542343377575941	248	256	diabetES	" tipo 2:
#diabetes #diabetESP https://t.co/4oE4O"
1454045035620716551	222	227	ictus	mpaña de la @frenoalictus apara reducir el im
1455548649581199368	242	248	Cancer	ntraCancerEs @ContraCancerZA https://t.co/PEqG
1455548649581199368	226	232	Cancer	nuestro país @ContraCancerEs @ContraCancerZA h
1093552192802426880	162	168	Cáncer	"isionesencáncer #RevCáncer2019 #oncología


"
1093552192802426880	151	157	cáncer	cáncer #revisionesencáncer #RevCáncer2019 #onc
1245021749596631044	7	15	Diabetes	#TuiteaDiabetesCOVID19 ¿como afecta
1245021749596631044	15	22	COVID19	#TuiteaDiabetesCOVID19 ¿como afecta realme
1407041169536733188	61	68	autista	"t.co/jwCPDCTtHh
#soyautista #autismo https://t."
1451221615459643397	237	246	cataratas	ojos# vista #salud #cataratas #cuidate https://t.
